"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.630343800E-2,6.150461830E1,2.360771010E1,1.351318063E2,NaN,NaN,3.503880005E2,6.027260590E1
5.826782820E-1,6.150450926E1,2.360794139E1,1.276894101E2,2.500000000E-1,8.259999847E1,9.062975883E0,1.293292046E1
1.434749167E0,6.150448754E1,2.360796384E1,1.344511739E2,0.000000000E0,NaN,9.589266777E0,1.231949329E1
2.433145781E0,6.150436717E1,2.360777608E1,1.270541588E2,0.000000000E0,NaN,6.545311928E0,8.846004486E0
3.433248124E0,6.150435028E1,2.360772249E1,1.237903490E2,0.000000000E0,NaN,5.505425930E0,7.891691208E0
4.433280728E0,6.150434972E1,2.360770077E1,1.228244662E2,4.699999988E-1,8.140000153E1,3.790092468E0,4.673417568E0
5.432613228E0,6.150434540E1,2.360771696E1,1.207828986E2,8.399999738E-1,8.240000153E1,3.790092468E0,4.259683609E0
6.432653332E0,6.150434574E1,2.360775917E1,1.205521270E2,2.690000057E0,8.130000305E1,3.790092468E0,3.342242241E0
7.433087706E0,6.150434627E1,2.360777340E1,1.196323283E2,1.730000019E0,8.690000153E1,3.790092468E0,2.642874479E0
8.432772290E0,6.150435099E1,2.360779428E1,1.181278774E2,1.740000010E0,8.219999695E1,3.790092468E0,2.500000000E0
9.433274008E0,6.150435466E1,2.360781270E1,1.174340946E2,1.409999967E0,8.630000305E1,3.790092468E0,2.500000000E0
1.043240307E1,6.150435565E1,2.360783624E1,1.176459495E2,1.549999952E0,9.190000153E1,3.790092468E0,2.500000000E0
1.143265812E1,6.150435868E1,2.360786181E1,1.172481870E2,1.820000052E0,8.769999695E1,3.790092468E0,2.500000000E0
1.243298161E1,6.150436221E1,2.360788621E1,1.166012183E2,1.690000057E0,8.719999695E1,3.790092468E0,2.500000000E0
1.343253224E1,6.150436675E1,2.360791134E1,1.159309350E2,1.850000024E0,8.330000305E1,3.790092468E0,2.500000000E0
1.443297661E1,6.150437106E1,2.360793506E1,1.156653755E2,1.480000019E0,8.219999695E1,3.790092468E0,2.500000000E0
1.543326838E1,6.150437503E1,2.360795667E1,1.156280262E2,1.570000052E0,8.119999695E1,3.790092468E0,2.500000000E0
1.643321999E1,6.150437938E1,2.360798086E1,1.157275791E2,1.629999995E0,8.009999847E1,3.790092468E0,2.500000000E0
1.743295848E1,6.150438325E1,2.360800654E1,1.157176956E2,1.659999967E0,8.050000000E1,3.790092468E0,2.500000000E0
1.843274843E1,6.150438606E1,2.360803181E1,1.150339222E2,1.620000005E0,8.209999847E1,3.790092468E0,2.500000000E0
1.943250124E1,6.150438784E1,2.360805849E1,1.151801651E2,1.669999957E0,8.519999695E1,3.790092468E0,2.500000000E0
2.043290374E1,6.150438917E1,2.360808863E1,1.148522257E2,1.730000019E0,8.540000153E1,3.790092468E0,2.500000000E0
2.143310458E1,6.150438999E1,2.360811932E1,1.149121033E2,1.720000029E0,8.590000153E1,3.790092468E0,2.500000000E0
2.243276963E1,6.150439045E1,2.360814989E1,1.150380817E2,1.730000019E0,8.669999695E1,3.790092468E0,2.500000000E0
2.343329108E1,6.150439110E1,2.360818011E1,1.153342262E2,1.590000033E0,8.680000305E1,3.790092468E0,2.500000000E0
2.443259140E1,6.150439257E1,2.360821083E1,1.153222660E2,1.700000048E0,8.469999695E1,3.790092468E0,2.500000000E0
2.543327280E1,6.150439410E1,2.360824377E1,1.157219270E2,1.759999990E0,8.359999847E1,3.790092468E0,2.500000000E0
2.643240338E1,6.150439565E1,2.360827704E1,1.158812315E2,1.730000019E0,8.409999847E1,3.790092468E0,2.500000000E0
2.743277265E1,6.150439639E1,2.360831064E1,1.161823812E2,1.700000048E0,8.540000153E1,3.790092468E0,2.500000000E0
2.843315124E1,6.150439711E1,2.360834266E1,1.164243266E2,1.620000005E0,8.500000000E1,3.790092468E0,2.500000000E0
2.943241962E1,6.150439832E1,2.360837392E1,1.166004765E2,1.659999967E0,8.450000000E1,3.790092468E0,2.500000000E0
3.043276546E1,6.150439944E1,2.360840431E1,1.168739164E2,1.620000005E0,8.359999847E1,3.790092468E0,2.500000000E0
3.143269317E1,6.150440091E1,2.360843119E1,1.168317435E2,1.450000048E0,8.400000000E1,3.790092468E0,2.500000000E0
3.243307421E1,6.150440232E1,2.360845829E1,1.167724198E2,1.559999943E0,8.400000000E1,3.790092468E0,2.500000000E0
3.343241926E1,6.150440351E1,2.360848541E1,1.166089088E2,1.509999990E0,8.490000153E1,3.790092468E0,2.500000000E0
3.443324483E1,6.150440457E1,2.360851504E1,1.166094604E2,1.720000029E0,8.609999847E1,3.790092468E0,2.500000000E0
3.543329092E1,6.150440561E1,2.360854718E1,1.166532250E2,1.740000010E0,8.619999695E1,3.790092468E0,2.500000000E0
3.643261853E1,6.150440649E1,2.360858157E1,1.166503586E2,1.730000019E0,8.569999695E1,3.790092468E0,2.500000000E0
3.743327577E1,6.150440705E1,2.360861483E1,1.166120916E2,1.649999976E0,8.550000000E1,3.790092468E0,2.500000000E0
3.843249790E1,6.150440782E1,2.360864916E1,1.165195646E2,1.750000000E0,8.619999695E1,3.790092468E0,2.500000000E0
3.943252155E1,6.150440807E1,2.360868273E1,1.168411606E2,1.610000014E0,8.759999847E1,3.790092468E0,2.500000000E0
4.043255837E1,6.150440768E1,2.360871635E1,1.167637083E2,1.669999957E0,8.919999695E1,3.790092468E0,2.500000000E0
4.143314795E1,6.150440750E1,2.360875100E1,1.170047987E2,1.690000057E0,8.850000000E1,3.790092468E0,2.500000000E0
4.243276748E1,6.150440855E1,2.360878490E1,1.169897865E2,1.679999948E0,8.509999847E1,3.790092468E0,2.500000000E0
